template,intent,production,usability,instances,creators,categories,median_om,median_views,example
how to make a [...],TEACH,SCREEN_DEMO,75.5,16,13,7,12.819610455,40750.0,How to make a velocity edit in 10 seconds?
pov when you [...],RELATE,SKIT_OR_POV,74.6,17,11,9,13.90798519,16100.0,POV when you finally find a safe place on the internet to vent and people actually care
this is your sign to [...],PROVOKE,TEXT_ON_BROLL,73.6,23,19,7,7.378742515,21400.0,This is your sign to give your wedding guests disposable cameras on their Lock Screen to see your wedding through their eyes
pov you find [...],RELATE,SKIT_OR_POV,72.8,8,8,5,49.72128135,208100.0,POV: You find the ultimate travel essential!
me when i [...],RELATE,SKIT_OR_POV,72.2,10,10,7,16.1852477485,102950.0,Me when I send a risky message and the energy is reciprocated:
how to create a [...],TEACH,SCREEN_DEMO,69.4,10,7,2,20.086726815,43150.0,How to create a story for your best friend's birthday
how to keep [...],TEACH,SCREEN_DEMO,67.1,7,6,4,37.04013378,43100.0,How to keep your iceberg fresh
what you need to know [...],PROVOKE,TEXT_ON_BROLL,66.0,8,4,3,35.278333125,96300.0,what you need to know about INFJ
are you a [...],PROVOKE,TEXT_ON_BROLL,65.8,10,10,6,10.3739253575,58400.0,Are you a content creator looking to be part of a startup? 🚀
when my boss [...],RELATE,TALKING_HEAD,65.7,12,5,5,14.106416495,86500.0,"When my boss asks if I knew my work bestie was going to quit, but I found them the job Do you really wanna know"
when your friend [...],RELATE,SKIT_OR_POV,65.7,8,8,8,15.1200980055,58900.0,when your friend tells you they haven’t been using Tape to study for finals...
here's how to [...],TEACH,SCREEN_DEMO,65.0,7,5,3,30.656,162600.0,Here's how to reply to emails with one tap
what if i [...],PROVOKE,TALKING_HEAD,64.5,6,6,5,38.203855265,58450.0,What if I apply Dizzi Cartoon 10 times?
how to make your [...],TEACH,SCREEN_DEMO,63.9,13,10,6,7.917346939,14000.0,How to make Your Period Shorter?
how do you [...],PROVOKE,TEXT_ON_BROLL,63.9,26,23,9,4.103505748,13900.0,How do you craft emails that guarantee replies?
how to get a [...],TEACH,SCREEN_DEMO,63.9,11,10,8,9.058071687,33300.0,How to get a 4.0 while j*rking off in class 😏🍿
why are you [...],RELATE,SKIT_OR_POV,63.5,12,6,4,11.141422573,25600.0,why are you building a comfort app for people to help each other?
do you want to [...],PROVOKE,TEXT_ON_BROLL,62.5,10,9,7,9.230227115,25781.5,Do you want to make money playing video games?
pov you re a [...],RELATE,SKIT_OR_POV,61.7,6,6,5,22.026415095,95750.0,POV you’re a creator that just wants a cup of coffee but....
3 reasons why [...],TEACH,TEXT_ON_BROLL,61.6,6,5,5,25.351680145000003,14900.0,3 REASONS WHY SAMSUNG GALAXY TABLET IS THE BEST FOR DIGITAL NOTE-TAKING Digital note-taking for Beginners Android tab user? You gotta watch this!
what are the [...],PROVOKE,TEXT_ON_BROLL,61.3,6,6,5,21.911886255,20950.0,What are the first signs of a weak heart?
how to find [...],TEACH,SCREEN_DEMO,60.1,7,7,5,13.18095238,14400.0,How to find and secure the best travel deals with Hopper:
why would i [...],PROVOKE,SKIT_OR_POV,59.6,6,5,5,21.766190395000002,58800.0,"""Why would I want to see how I would look like as a man"""
have you ever [...],PROVOKE,TEXT_ON_BROLL,59.6,13,11,7,6.532299742,41900.0,Have you ever wanted a phat a🍑🍑 but didn't want to do the work?
i found the [...],SELL,SCREEN_DEMO,58.9,6,6,5,15.714502435,52800.0,I found the best app for the Recap Videos. It was so easy to make! Here is my Year Recap ✨
when you finally [...],RELATE,SKIT_OR_POV,58.4,8,7,5,9.924166523,28550.0,When you finally experience what a women-designed period tracker feels like 😎 (No more using trackers owned by men)
how to add [...],TEACH,SCREEN_DEMO,58.4,12,7,4,7.843549168000001,54500.0,How to add your own color palettes to Notability!
pov you just found [...],RELATE,SCREEN_DEMO,58.2,5,4,4,53.75155944,118300.0,pov: you just found out that ed sheeran has now completed all the main math symbols with his album titles.
3 ways to [...],TEACH,TEXT_ON_BROLL,58.2,12,9,6,7.3450396824999995,24300.0,3 ways to achieve your goals in 2022 faster
is this the [...],PROVOKE,TEXT_ON_BROLL,57.6,7,6,5,12.771261,29300.0,Is THIS the most luxurious hostel?
have you tried [...],PROVOKE,TEXT_ON_BROLL,57.4,5,4,4,40.58373871,58400.0,HAVE YOU TRIED JAPANESE-THAI FUSION FOOD?
i made a [...],PROVE,TALKING_HEAD,57.1,7,5,5,13.01730625,17300.0,I made a map game! It shows you the percent of the earth you've explored! Miles explored: 914.694mi % earth cleared: 0.00046454736%
how to make an [...],TEACH,SCREEN_DEMO,56.2,12,5,5,7.8460420525,27150.0,How to make an ENGINEER RESUME In less than 15 seconds
how to use [...],TEACH,SCREEN_DEMO,55.9,22,18,8,3.930716832,28200.0,How to use this give tutorial Tutorial
how to do [...],TEACH,SCREEN_DEMO,55.3,9,9,5,7.545629573,29300.0,How to do Pixar trend with Wonder 🌈🌈
when someone asks me [...],PROVE,TALKING_HEAD,55.2,9,8,5,7.730263158,92300.0,"When someone asks me how I get to go to so many fun, free events"
pov you ve [...],RELATE,SKIT_OR_POV,55.1,5,4,4,23.49823322,26600.0,POV: You’ve found the spot where all the bloggers snap their pics! 📸🌈
when they say [...],RELATE,SKIT_OR_POV,54.7,5,4,4,22.62351921,78300.0,"""When they say the doctor can come to your Airbnb/hotel room instead of you going to the clinic Shocked and impressed me:"""
what are your [...],PROVOKE,TEXT_ON_BROLL,54.5,7,7,6,9.095149254,19500.0,WHAT ARE YOUR TOP 5 EMOJIS?
how i got [...],PROVE,TALKING_HEAD,54.0,5,5,3,17.6653144,9033.0,How I got a 4.0
how to fix [...],TEACH,SCREEN_DEMO,52.4,5,5,4,15.51020408,45000.0,How to fix blurry INSTAGRAM REELS
want to get [...],PROVOKE,TEXT_ON_BROLL,52.3,5,4,3,17.36287686,23900.0,Want to get rid of hip-dips?? BEFORE AFTER
5 ways to [...],TEACH,TEXT_ON_BROLL,51.7,10,8,7,6.37874154,26250.0,5 ways to earn passive income
can you do [...],PROVOKE,TEXT_ON_BROLL,51.6,6,4,3,11.659591835,163000.0,can you do a loyalty test on my girl?
how much do [...],PROVOKE,TEXT_ON_BROLL,51.3,6,5,2,10.3483583725,144900.0,How much do you think this flight costs?
pov you're in [...],RELATE,SKIT_OR_POV,51.2,5,5,5,14.48892502,142600.0,POV: You're in a hurry but need a snack 🍕 Only 4 Ingredients
when you have [...],RELATE,SKIT_OR_POV,50.9,9,9,6,6.224513173,15800.0,"""When you have travel insurance and use the Air Doctor app. 💕"""
why do you [...],PROVOKE,TEXT_ON_BROLL,50.8,11,10,8,5.630176852,42200.0,Why do you always insist on the window seat?
pov you have a [...],RELATE,SKIT_OR_POV,50.6,6,6,5,9.228971768000001,43850.0,"POV: you have a meeting at 5, gym at 5:30 and drinks at 6"
pov you can't [...],RELATE,SKIT_OR_POV,50.3,5,4,3,14.58474004,17400.0,Pov: you can't decide which movie to watch...
here's how i [...],TEACH,TALKING_HEAD,50.1,7,7,4,7.661181548,14200.0,Here's how I made these Polaroid aesthetic wallpapers
how to be [...],TEACH,SCREEN_DEMO,49.8,10,9,6,5.8359728405,24027.5,How to be a show off these holidays ✨
do you have [...],PROVOKE,TEXT_ON_BROLL,49.7,10,8,6,6.112830569,38050.0,do you have a lawyer
when someone says [...],RELATE,SKIT_OR_POV,49.4,6,6,5,8.8662063555,10482.5,When someone says the candy with Red 40 they bought made their stomach hurt: read the caption for more info on Red 40
pov on a [...],RELATE,SKIT_OR_POV,49.0,15,6,6,5.771924909,16200.0,POV: on a un eye contact et je tombe immédiatement amoureuse
why you should [...],PROVOKE,TEXT_ON_BROLL,49.0,6,6,4,8.615201562,12400.0,Why you should avoid car finance
pov you are [...],RELATE,SKIT_OR_POV,48.9,10,8,5,5.9070259175,19150.0,POV: You are becoming THAT girl
how to take [...],TEACH,SCREEN_DEMO,48.7,5,4,3,13.24930748,52500.0,How to take care of this Crispy Wave Fern
if you re [...],PROVOKE,TEXT_ON_BROLL,47.4,11,8,6,5.540540541,29200.0,If you’re a gym rat watch this!
pov you finally [...],RELATE,SKIT_OR_POV,46.9,11,11,6,4.450867052,9632.0,POV: you FINALLY have motivation to make your bed first thing in the morning bc of this cute self care app
pov you're a [...],RELATE,SKIT_OR_POV,45.6,5,5,4,9.53495935,8796.0,POV: you're a student athlete so you have to do homework on away trips 😑
let's make a [...],SELL,TEXT_ON_BROLL,45.4,6,6,3,7.653674809,193100.0,Let's make a Barbie edit on the Mojo app!
what's on my [...],PROVOKE,TALKING_HEAD,45.0,5,3,3,11.34601832,20200.0,What's on my Shelf episode 6 with Avantika For a limited time only you can customize your Shelf with Mean Girls Pink💖
what is the [...],PROVOKE,TEXT_ON_BROLL,44.5,11,10,5,4.291666667,53200.0,What is the ONE thing my toddler can't live without?
when you want [...],RELATE,SKIT_OR_POV,43.9,5,4,4,9.375604098,27800.0,When you want to get back into reading
when you re [...],RELATE,SKIT_OR_POV,43.2,15,11,9,3.5955925,10800.0,When you’re about to pay and shipping says “$9.99”
looking for a [...],PROVOKE,TEXT_ON_BROLL,42.9,7,6,5,6.150297619,4822.0,Looking for a unique photo opportunity in San Francisco?
when you get [...],RELATE,SKIT_OR_POV,42.5,9,8,5,5.044672704,41500.0,When you get really dr*nk at the pregame And don’t need to spend any money at the bar
when people ask [...],PROVOKE,TALKING_HEAD,42.5,5,5,5,8.608219178,16600.0,"""When people ask how I enjoy flexible working at Truecaller"""
why did you [...],PROVOKE,SKIT_OR_POV,42.1,5,5,3,8.388157895,25500.0,Why did you lie?
this app is [...],SELL,SCREEN_DEMO,42.0,7,5,5,6.201966041,26400.0,this app is so much better than pinterest...
when you find [...],RELATE,SKIT_OR_POV,41.1,12,12,9,3.210629033,10264.0,When you find your bestfriend on taimi
how are you [...],PROVOKE,TEXT_ON_BROLL,40.5,5,5,3,7.836806575,39100.0,"How are you? Part 1. Positive responses How to answer ""How are you?"" question:"
why do i [...],PROVOKE,TALKING_HEAD,40.1,6,4,4,6.5348885155000005,20832.0,Why do I keep getting
how do i [...],PROVOKE,TALKING_HEAD,38.2,12,7,5,3.6573770495,4409.0,How do I put myself out there?
when you realize [...],RELATE,SKIT_OR_POV,38.2,11,11,6,3.205103042,8326.0,When you realize you can highlight PDF’s faster than ever...
you better not [...],RELATE,SKIT_OR_POV,37.7,5,5,4,7.222881244,63100.0,You better not mess with my gang
why don't you [...],RELATE,SKIT_OR_POV,37.3,5,5,5,6.857255832,10600.0,Why don't you use lube? Talking to the public about lube...
what are you [...],PROVOKE,TEXT_ON_BROLL,36.9,9,8,6,3.818340611,60500.0,what are you doing here
pov you get [...],RELATE,SKIT_OR_POV,36.3,8,5,4,4.858015267,158059.5,POV: you get to school and have a really ugly dorm
come with me to [...],SELL,TALKING_HEAD,36.3,6,6,5,5.606853227,26500.0,Come with me to get my daily Huel
pov you and your [...],RELATE,SKIT_OR_POV,36.2,6,5,4,5.738434701499999,32845.0,POV: you and your wife have a race every day to get home first😭❤️
what's the difference [...],PROVOKE,TEXT_ON_BROLL,35.9,7,4,4,5.51981352,30600.0,What's the difference? I was in Paris. I've been to Paris.
pov you're on [...],RELATE,SKIT_OR_POV,35.7,5,5,4,6.503333333,55600.0,POV: you're on a date with me
pov you go [...],RELATE,SKIT_OR_POV,35.6,5,4,4,6.734279919,36800.0,"pov: you go to college in hawaii, but forgot about the college part..."
if you have [...],TEACH,TEXT_ON_BROLL,35.1,8,8,6,3.771114308,25350.0,"If you have 1,5k+ followers and you're into photo editing"
pov it s [...],RELATE,SKIT_OR_POV,34.2,11,11,7,2.445272473,11300.0,POV: it’s raining and there’s a storm outside but you paid too much for this vacation
do you like [...],PROVOKE,TEXT_ON_BROLL,33.6,5,4,4,6.294080204,18900.0,DO YOU LIKE THE BAROQUE STYLE IN LIVING ROOMS?
do you know [...],PROVOKE,TEXT_ON_BROLL,33.5,8,8,5,3.598839108,31900.0,Do you know what a meatball is?
what happens when [...],PROVOKE,TEXT_ON_BROLL,32.1,11,3,3,3.747002398,8887.0,What happens when you don’t track your workouts
if you are [...],TEACH,TEXT_ON_BROLL,32.1,9,7,5,3.429515419,3114.0,If you are getting married this year...
3 things i [...],TEACH,TALKING_HEAD,31.6,5,4,2,5.932421976,47700.0,3 things I did to finally quit overeating
you need to [...],PROVOKE,TEXT_ON_BROLL,31.3,8,6,5,3.6515947715,5857.5,You need to download all of your TikTok data right now. Effect - Green Screen NoahGle How to g in case T
when your friends [...],RELATE,SKIT_OR_POV,30.8,6,6,5,4.3120400625,44850.0,When your friends confront you about your Huel intake
if you asked me [...],PROVOKE,TALKING_HEAD,30.5,6,4,2,4.8837561505,10746.0,"If you asked me about silly hacker names, I would say they're very funny."
did you know that you [...],PROVOKE,TEXT_ON_BROLL,30.2,8,7,6,3.3750771185,13750.0,Did you know that you could change the color of emojis in your iPhone? ✨
this is how i [...],PROVE,TALKING_HEAD,29.4,9,8,5,2.815230961,9020.0,This is how I used to edit
how it feels [...],PROVOKE,TEXT_ON_BROLL,29.2,8,8,6,3.103254251,15091.5,How it feels when I have to make VPNs cool on TikTok
